RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Reason for exiting company
2353,15726791,Nuttall,637,Spain,Female,45,2,157929.45,1,1,1,145134.49,1,Long Response Times
2356,15710366,Hamilton,569,Spain,Female,42,1,0.0,1,1,1,83629.6,1,Long Response Times
2363,15791053,Lucciano,709,Germany,Male,45,4,122917.71,1,1,1,11.58,1,High Service Charges/Rate of Interest
2368,15682600,Lo,620,Germany,Male,39,9,159492.79,1,1,0,80582.34,1,Excess Documents Required
2370,15708212,Lin,648,Spain,Female,54,7,118241.02,1,1,0,172586.89,1,High Service Charges/Rate of Interest
2373,15578297,Ebelegbulam,737,Germany,Female,43,1,125537.38,1,1,0,138510.01,1,Inexperienced Staff / Bad customer service 
2382,15774151,Iadanza,614,Spain,Female,41,7,179915.85,1,0,0,14666.35,1,Inexperienced Staff / Bad customer service 
2389,15778395,McIntyre,762,Germany,Male,34,4,88815.56,2,1,0,68562.26,1,Inexperienced Staff / Bad customer service 
2394,15657342,Dawson,850,Germany,Male,28,4,147972.19,1,1,0,60708.72,1,Excess Documents Required
2396,15672374,Pai,672,France,Male,52,8,170008.84,1,0,0,56407.42,1,Inexperienced Staff / Bad customer service 
2405,15809286,Burke,631,Germany,Male,37,8,138292.64,2,0,0,152422.91,1,Inexperienced Staff / Bad customer service 
2408,15579130,Chidiegwu,708,Germany,Female,43,0,118994.84,1,1,0,181499.77,1,Inexperienced Staff / Bad customer service 
2415,15806027,Niu,556,France,Female,52,9,0.0,1,1,0,175149.2,1,Long Response Times
2419,15603914,Arcuri,614,France,Male,40,6,0.0,1,1,1,20339.79,1,Inexperienced Staff / Bad customer service 
2428,15661821,Johnstone,798,Germany,Female,49,5,132571.67,1,1,1,31686.33,1,Excess Documents Required
2431,15689351,Johnson,742,Germany,Female,41,4,92805.72,1,0,1,73743.95,1,Long Response Times
2432,15782247,Yeh,540,France,Male,22,4,0.0,3,1,1,186233.26,1,High Service Charges/Rate of Interest
2433,15769064,Marshall,537,Germany,Male,39,3,135309.36,1,1,0,31728.86,1,High Service Charges/Rate of Interest
2435,15613189,Browne,774,France,Female,52,2,56580.93,1,1,0,113266.28,1,Long Response Times
2439,15792525,Lei,628,Germany,Female,61,1,97361.66,1,1,1,149922.38,1,Long Response Times
2440,15586976,Alexeeva,566,France,Female,42,6,0.0,1,1,0,180702.12,1,High Service Charges/Rate of Interest
2450,15567980,Frater,537,Germany,Female,46,5,100727.5,1,0,1,140857.76,1,High Service Charges/Rate of Interest
2455,15636089,Hs?,678,Germany,Female,51,1,145751.03,1,0,0,109718.44,1,Excess Documents Required
2456,15727490,Scott,661,France,Male,47,5,0.0,1,0,1,107243.31,1,Inexperienced Staff / Bad customer service 
2460,15756920,Genovesi,576,France,Male,63,9,70655.48,1,0,0,78955.8,1,Inexperienced Staff / Bad customer service 
2461,15726403,Glenny,660,Germany,Male,41,1,129901.21,1,1,0,26025.6,1,Inexperienced Staff / Bad customer service 
2463,15704442,Fleming,672,France,Female,53,9,169406.33,4,1,1,147311.47,1,High Service Charges/Rate of Interest
2470,15630617,Lo Duca,727,Germany,Male,36,6,140418.81,1,1,1,113033.73,1,Long Response Times
2474,15679249,Chou,351,Germany,Female,57,4,163146.46,1,1,0,169621.69,1,Inexperienced Staff / Bad customer service 
2475,15693199,Shao,739,France,Female,37,8,0.0,2,1,0,191557.1,1,High Service Charges/Rate of Interest
2478,15760294,Endrizzi,512,France,Female,41,8,145150.28,1,1,0,64869.32,1,Inexperienced Staff / Bad customer service 
2493,15778155,T'ien,520,Germany,Female,31,3,108914.17,1,1,1,183572.39,1,Inexperienced Staff / Bad customer service 
2496,15666548,Chung,466,Germany,Female,56,2,111920.13,3,1,0,197634.11,1,Excess Documents Required
2500,15634974,Seppelt,614,France,Female,37,8,75150.34,4,0,1,131766.67,1,Inexperienced Staff / Bad customer service 
2510,15689341,Gibbs,655,France,Female,50,10,0.0,4,1,0,179267.94,1,Excess Documents Required
2516,15744327,Ruth,564,France,Male,40,4,0.0,1,1,0,85455.62,1,Inexperienced Staff / Bad customer service 
2519,15759436,Aksenov,758,France,Female,50,2,95813.76,3,1,1,67944.09,1,Excess Documents Required
2521,15751561,Meng,498,Germany,Male,61,7,102453.26,1,1,0,187247.56,1,Excess Documents Required
2525,15726490,Kirby,782,Spain,Male,52,4,0.0,1,1,1,52759.82,1,Excess Documents Required
2531,15598086,Brown,624,France,Female,45,3,68639.57,1,1,0,168002.31,1,Excess Documents Required
2536,15578809,Hao,651,Germany,Male,40,1,134760.21,2,0,0,174434.06,1,High Service Charges/Rate of Interest
2537,15752026,Hammer,691,France,Male,58,3,0.0,1,0,1,194930.3,1,High Service Charges/Rate of Interest
2540,15569571,Davydova,584,Germany,Female,46,6,87361.02,2,1,0,120376.87,1,Long Response Times
2541,15769703,West,550,Germany,Female,45,8,111257.59,1,0,0,97623.42,1,Long Response Times
2542,15679770,Smith,611,France,Female,61,3,131583.59,4,0,1,66238.23,1,High Service Charges/Rate of Interest
2543,15791102,Mai,549,Germany,Male,41,9,95020.8,3,1,1,131710.59,1,High Service Charges/Rate of Interest
2547,15755178,Ramos,660,France,Male,50,1,0.0,3,1,1,191849.15,1,High Service Charges/Rate of Interest
2549,15617197,Chien,524,France,Male,50,4,0.0,2,1,1,31840.59,1,Long Response Times
2550,15631240,Dubinina,645,France,Female,36,8,0.0,2,1,1,12096.61,1,Long Response Times
2554,15732270,Hung,727,Spain,Male,71,8,0.0,1,1,1,198446.91,1,Long Response Times
2561,15711834,Long,650,Spain,Female,30,6,0.0,1,0,0,67997.13,1,Inexperienced Staff / Bad customer service 
2565,15672144,Mao,667,France,Female,38,6,144432.04,1,1,1,73963.17,1,Inexperienced Staff / Bad customer service 
2569,15775905,Moore,612,Germany,Female,47,6,130024.87,1,1,1,45750.21,1,Inexperienced Staff / Bad customer service 
2575,15688691,Lei,665,Germany,Female,51,9,110610.41,2,0,1,1112.76,1,Inexperienced Staff / Bad customer service 
2576,15592736,Lucchese,551,Germany,Male,54,5,102994.04,1,1,0,176680.16,1,Excess Documents Required
2580,15597896,Ozoemena,365,Germany,Male,30,0,127760.07,1,1,0,81537.85,1,High Service Charges/Rate of Interest
2581,15731790,Boyle,697,Germany,Female,38,6,132591.36,1,1,1,7387.8,1,Inexperienced Staff / Bad customer service 
2595,15787318,Holmwood,537,Germany,Female,47,6,103163.35,1,1,0,16259.64,1,Long Response Times
2601,15744582,Randall,680,France,Female,24,10,0.0,3,1,0,154971.63,1,High Service Charges/Rate of Interest
2615,15640846,Chibueze,546,Germany,Female,58,3,106458.31,4,1,0,128881.87,1,Excess Documents Required
2618,15602735,Kuo,692,Germany,Male,45,6,152296.83,4,0,1,108040.86,1,High Service Charges/Rate of Interest
2620,15800062,Lanford,850,Spain,Male,49,8,0.0,1,0,0,25867.67,1,High Service Charges/Rate of Interest
2629,15775891,Myers,634,Germany,Male,48,2,107247.69,1,1,1,103712.05,1,Inexperienced Staff / Bad customer service 
2630,15711789,Davey,768,Spain,Female,42,3,0.0,1,0,0,161242.99,1,Inexperienced Staff / Bad customer service 
2635,15680278,Ts'ai,661,Spain,Female,42,9,75361.44,1,1,0,27608.12,1,Inexperienced Staff / Bad customer service 
2640,15581036,Beyer,712,Germany,Female,40,3,109308.79,2,1,0,120158.72,1,Long Response Times
2648,15687162,Clayton,461,France,Male,51,9,119889.84,1,0,0,56767.67,1,Long Response Times
2655,15759874,Chamberlain,532,France,Male,44,3,148595.55,1,1,0,74838.64,1,Excess Documents Required
2659,15815490,Cocci,670,Germany,Male,40,2,164948.98,3,0,0,177028.0,1,Inexperienced Staff / Bad customer service 
2660,15679410,Caldwell,729,France,Female,62,4,140549.4,1,1,0,30990.16,1,Long Response Times
2662,15688409,Donaldson,742,France,Female,28,2,191864.51,1,1,0,108457.99,1,High Service Charges/Rate of Interest
2663,15742272,Ozerova,669,France,Female,44,8,96418.09,1,0,0,131609.48,1,Long Response Times
2666,15635660,Rossi,612,Germany,Male,30,9,142910.15,1,1,0,105890.55,1,High Service Charges/Rate of Interest
2669,15582325,Jennings,524,France,Male,52,2,87894.26,1,1,0,173899.42,1,High Service Charges/Rate of Interest
2671,15760446,Pagnotto,598,France,Female,64,9,0.0,1,0,1,13181.37,1,Long Response Times
2677,15641994,Meng,667,Germany,Male,43,1,103018.45,1,1,0,32462.39,1,Long Response Times
2690,15636999,Mao,414,France,Male,38,8,0.0,1,0,1,77661.12,1,Inexperienced Staff / Bad customer service 
2696,15639946,Sazonova,597,Germany,Female,39,8,162532.14,3,1,0,36051.46,1,Excess Documents Required
2699,15729954,Azuka,586,France,Female,28,5,0.0,3,1,0,170487.4,1,Long Response Times
2704,15627352,Bulgakov,459,Germany,Male,46,7,110356.42,1,1,0,4969.13,1,Long Response Times
2720,15809178,Pan,569,Germany,Female,42,9,146100.75,1,1,0,32574.01,1,High Service Charges/Rate of Interest
2721,15806688,Manfrin,726,Spain,Female,56,8,123110.9,3,0,1,130113.78,1,Excess Documents Required
2722,15576824,Kennedy,564,Germany,Female,44,3,111760.4,3,1,1,104722.47,1,Inexperienced Staff / Bad customer service 
2733,15592816,Udokamma,623,Germany,Female,48,1,108076.33,1,1,0,118855.26,1,High Service Charges/Rate of Interest
2739,15662098,Palmer,650,Spain,Male,41,3,128808.65,3,0,0,113677.53,1,Excess Documents Required
2744,15658889,Watson,689,France,Male,22,4,136444.25,1,1,0,51980.25,1,Long Response Times
2749,15753332,Loftus,401,Germany,Male,48,8,128140.17,1,1,0,175753.55,1,Excess Documents Required
2751,15767474,Lorenzo,481,France,Female,57,9,0.0,3,1,1,169719.35,1,Long Response Times
2753,15626787,Wei,698,Spain,Female,31,8,185078.26,1,0,0,115337.74,1,High Service Charges/Rate of Interest
2758,15566708,Chidalu,444,France,Female,45,4,0.0,2,1,0,161653.5,1,Excess Documents Required
2770,15730433,Nakayama,580,Germany,Female,38,1,128218.47,1,1,0,125953.83,1,Inexperienced Staff / Bad customer service 
2776,15782468,Hart,850,Spain,Male,51,3,109799.55,2,1,1,12457.76,1,Long Response Times
2778,15776233,Kruglova,758,Germany,Female,61,8,125397.21,1,1,0,182184.09,1,Long Response Times
2782,15641416,Shaffer,732,Germany,Female,61,9,94867.18,2,1,1,157527.6,1,Excess Documents Required
2786,15771417,Thomas,640,France,Male,43,7,132412.38,1,0,0,69584.3,1,Excess Documents Required
2787,15585100,Rioux,511,Germany,Female,40,9,124401.6,1,1,0,198814.24,1,Excess Documents Required
2788,15700487,Osonduagwuike,805,France,Male,46,6,118022.06,3,1,0,162643.15,1,Inexperienced Staff / Bad customer service 
2790,15747503,Hayward,705,Spain,Male,44,0,184552.12,1,1,0,68860.3,1,Long Response Times
2795,15597930,Wilson,646,France,Male,52,8,59669.43,1,0,0,172495.81,1,High Service Charges/Rate of Interest
2803,15723299,Sorokina,774,France,Male,53,4,113709.28,1,1,1,153887.93,1,Inexperienced Staff / Bad customer service 
2806,15618936,MacDonald,688,France,Female,51,5,0.0,1,1,0,91624.11,1,Inexperienced Staff / Bad customer service 
2807,15787529,Gray,592,Spain,Male,38,0,0.0,1,1,0,65986.48,1,Inexperienced Staff / Bad customer service 
2814,15600934,Randell,758,France,Female,52,7,125095.94,1,1,0,171189.83,1,Excess Documents Required
2843,15785782,Ugonna,513,Spain,Male,48,2,0.0,1,1,1,114709.13,1,High Service Charges/Rate of Interest
2846,15812513,Nnaife,599,Germany,Male,45,10,103583.05,1,1,0,132127.69,1,Inexperienced Staff / Bad customer service 
2848,15678572,Keating,529,Spain,Male,38,7,99842.5,2,1,0,90256.06,1,High Service Charges/Rate of Interest
2852,15776454,Hamilton,603,France,Female,48,5,0.0,1,1,0,100478.6,1,Long Response Times
2854,15648489,Ting,487,France,Male,53,4,199689.49,1,1,1,24207.86,1,Long Response Times
2857,15813067,Williams,432,Germany,Female,45,3,110219.14,1,1,0,43046.7,1,Inexperienced Staff / Bad customer service 
2869,15707968,Akobundu,545,Spain,Male,36,8,73211.12,2,1,0,89587.34,1,Long Response Times
2873,15671591,Castiglione,439,Spain,Male,52,3,96196.24,4,1,0,198874.52,1,Excess Documents Required
2880,15669411,Muse,750,Germany,Female,52,6,107467.56,1,1,0,126233.18,1,Inexperienced Staff / Bad customer service 
2881,15789425,Marsden,694,Germany,Female,37,8,98218.04,2,1,0,182354.46,1,High Service Charges/Rate of Interest
2899,15624510,Tien,696,France,Male,52,6,139781.06,1,1,0,27445.4,1,Long Response Times
2901,15668575,Hao,626,Spain,Female,26,8,148610.41,3,0,1,104502.02,1,Excess Documents Required
2913,15628972,Nebeolisa,699,Germany,Male,32,1,123906.22,3,1,1,127443.82,1,Excess Documents Required
2916,15617482,Milanesi,489,Germany,Female,52,1,131441.51,1,1,0,37240.11,1,Long Response Times
2917,15704583,Chikwado,651,France,Male,56,2,0.0,1,1,0,114522.68,1,High Service Charges/Rate of Interest
2918,15621083,Douglas,698,France,Male,57,6,136325.48,2,1,1,72549.27,1,Inexperienced Staff / Bad customer service 
2919,15649487,Sal,578,Germany,Female,38,4,113150.44,2,1,0,176712.59,1,Excess Documents Required
2929,15581198,Jenkins,668,Germany,Female,39,0,122104.79,1,1,0,112946.67,1,Long Response Times
2933,15724858,Begum,688,France,Female,54,9,0.0,1,1,0,191212.63,1,High Service Charges/Rate of Interest
2935,15690188,Maclean,631,France,Male,33,7,0.0,1,1,1,58043.02,1,High Service Charges/Rate of Interest
2940,15591915,Frolov,533,France,Female,39,2,0.0,1,0,1,73669.94,1,High Service Charges/Rate of Interest
2946,15776348,Rogers,835,Germany,Male,20,4,124365.42,1,0,0,180197.74,1,Excess Documents Required
2952,15671655,Thorpe,763,Germany,Male,31,7,143966.3,2,1,1,140262.96,1,Inexperienced Staff / Bad customer service 
2958,15789109,Watson,686,France,Female,41,10,0.0,1,1,1,144272.71,1,Inexperienced Staff / Bad customer service 
2963,15605000,John,550,France,Male,38,9,140278.99,3,1,1,171457.06,1,Long Response Times
2967,15577178,Genovese,511,France,Male,45,5,68375.27,1,1,0,193160.25,1,Excess Documents Required
2968,15595324,Daniels,579,Germany,Female,39,5,117833.3,3,0,0,5831.0,1,Inexperienced Staff / Bad customer service 
2971,15595228,Wanliss,815,France,Male,45,7,0.0,1,0,1,52885.23,1,Long Response Times
2974,15651983,Fang,591,France,Female,56,9,128882.49,1,1,1,196241.94,1,Excess Documents Required
2978,15655123,Dumetolisa,505,Spain,Female,45,9,131355.3,3,1,0,195395.33,1,Excess Documents Required
2988,15682268,Steere,676,Germany,Female,26,1,108348.66,1,0,0,60231.74,1,Long Response Times
2989,15684801,Abbott,689,France,Male,47,1,93871.95,3,1,0,156878.42,1,Excess Documents Required
2990,15636428,Sutherland,703,Spain,Female,45,1,0.0,1,1,0,182784.11,1,Inexperienced Staff / Bad customer service 
3007,15720943,Pirozzi,747,France,Female,45,1,114959.12,1,1,0,189362.39,1,Inexperienced Staff / Bad customer service 
3008,15697997,Jamieson,602,France,Male,33,5,164704.38,1,0,1,180716.1,1,Long Response Times
3011,15619653,Hannaford,666,France,Male,47,2,0.0,1,1,0,35046.97,1,Long Response Times
3033,15800061,Moretti,495,Spain,Female,45,3,89158.94,3,1,0,135169.76,1,Excess Documents Required
3036,15687491,Nkemdilim,817,Germany,Male,45,9,101207.75,1,0,0,88211.12,1,Excess Documents Required
3047,15779862,Lyons,658,Germany,Female,31,3,133003.03,1,0,1,146339.27,1,Long Response Times
3051,15699247,Chapman,791,France,Female,44,5,0.0,2,1,1,123977.86,1,High Service Charges/Rate of Interest
3070,15570932,Pirozzi,666,France,Male,43,7,137780.74,2,1,1,119100.05,1,Long Response Times
3075,15609653,Ifeatu,614,Germany,Female,44,6,118715.86,1,1,0,133591.11,1,High Service Charges/Rate of Interest
3083,15759066,Carpenter,483,France,Female,44,5,136836.49,1,1,0,192359.9,1,High Service Charges/Rate of Interest
3084,15814816,Kambinachi,466,France,Male,40,4,91592.06,1,1,0,141210.18,1,Inexperienced Staff / Bad customer service 
3086,15571059,Martin,734,France,Female,54,3,0.0,1,1,0,130805.54,1,Long Response Times
3091,15779581,Bottrill,734,Spain,Female,43,3,55853.33,2,0,1,94811.85,1,Long Response Times
3097,15745083,Lei,613,Germany,Male,59,8,91415.76,1,0,0,27965.0,1,Excess Documents Required
3106,15794566,Kirsova,678,France,Female,28,4,0.0,2,1,1,144423.17,1,Excess Documents Required
3108,15697424,Ku,597,Spain,Female,30,2,119370.11,1,1,1,182726.22,1,High Service Charges/Rate of Interest
3110,15735878,Law,850,Germany,Female,47,10,134381.52,1,0,0,26812.89,1,High Service Charges/Rate of Interest
3111,15707596,Chung,546,Germany,Female,74,8,114888.74,2,1,1,66732.63,1,Inexperienced Staff / Bad customer service 
3113,15622478,Greaves,698,France,Female,40,7,105061.74,3,1,0,107815.31,1,High Service Charges/Rate of Interest
3115,15636023,O'Donnell,619,France,Female,40,10,0.0,1,1,1,147093.84,1,Excess Documents Required
3120,15663161,Chiu,680,Germany,Female,51,5,143139.87,1,0,0,47795.43,1,Inexperienced Staff / Bad customer service 
3125,15795224,Wu,760,France,Male,39,6,178585.46,1,1,0,67131.3,1,Excess Documents Required
3128,15721007,Charlton,776,Germany,Male,33,8,115130.34,1,0,0,129525.5,1,High Service Charges/Rate of Interest
3131,15813113,Chang,795,Spain,Female,56,5,0.0,1,1,0,35418.69,1,Excess Documents Required
3138,15772073,Hodge,664,France,Male,48,10,0.0,1,1,0,140173.17,1,Inexperienced Staff / Bad customer service 
3139,15701537,Ignatiev,756,France,Male,60,2,0.0,1,1,1,166513.49,1,High Service Charges/Rate of Interest
3142,15769596,Yen,710,Germany,Female,24,2,110407.44,2,0,0,15832.43,1,Inexperienced Staff / Bad customer service 
3146,15775590,Mackay,482,Germany,Female,48,2,69329.47,1,0,0,102640.52,1,Inexperienced Staff / Bad customer service 
3147,15730688,Yu,548,France,Female,28,8,116755.5,2,1,1,158585.17,1,Excess Documents Required
3149,15810075,Fang,648,France,Female,39,6,130694.89,2,1,1,153955.38,1,Inexperienced Staff / Bad customer service 
3153,15724161,Sutton,644,France,Female,40,9,137285.26,4,1,0,77063.63,1,Excess Documents Required
3157,15569641,Sung,692,Germany,Female,41,8,130701.29,1,1,0,59354.24,1,Long Response Times
3164,15801336,Ch'ang,649,Germany,Female,37,8,114737.26,1,1,1,106655.88,1,Long Response Times
3167,15746203,Hsia,555,Germany,Male,62,4,119817.33,1,0,1,43507.1,1,High Service Charges/Rate of Interest
3168,15583137,Pope,637,France,Female,48,7,130806.99,2,1,1,132005.85,1,High Service Charges/Rate of Interest
3169,15680752,Horrocks,675,France,Female,49,0,0.0,1,1,1,80496.71,1,Inexperienced Staff / Bad customer service 
3171,15791373,Chikezie,850,Germany,Female,35,2,80931.75,1,0,0,12639.67,1,High Service Charges/Rate of Interest
3172,15589449,Frye,815,France,Female,56,3,0.0,3,1,1,94248.16,1,Long Response Times
3176,15764604,Sutherland,586,France,Female,35,7,164769.02,3,1,0,119814.25,1,Long Response Times
3181,15750447,Ozoemena,678,France,Female,60,10,117738.81,1,1,0,147489.76,1,Excess Documents Required
3185,15631070,Gerasimova,667,Germany,Male,55,9,154393.43,1,1,1,137674.96,1,Long Response Times
3186,15761950,Woronoff,652,Germany,Female,45,9,110827.49,1,1,1,153383.54,1,High Service Charges/Rate of Interest
3194,15725794,Winters,659,France,Female,49,1,0.0,1,1,0,116249.72,1,Long Response Times
3200,15678201,Robertson,548,France,Female,46,1,0.0,1,1,1,104469.06,1,High Service Charges/Rate of Interest
3205,15603942,Hawthorn,547,Germany,Male,50,3,81290.02,3,0,1,177747.03,1,Inexperienced Staff / Bad customer service 
3206,15733973,Bibi,850,France,Female,42,8,0.0,1,1,0,19632.64,1,Long Response Times
3207,15596761,Hawdon,515,Germany,Male,60,9,113715.36,1,1,0,18424.24,1,Excess Documents Required
3213,15747097,Hs?,611,France,Male,35,10,0.0,1,1,1,23598.23,1,Inexperienced Staff / Bad customer service 
3225,15713463,Tate,645,Germany,Female,41,2,138881.04,1,1,0,129936.53,1,Long Response Times
3230,15589715,Fulks,584,France,Female,66,5,0.0,1,1,0,49553.38,1,Inexperienced Staff / Bad customer service 
3235,15664907,Alexander,527,France,Male,47,1,0.0,1,1,0,21312.16,1,High Service Charges/Rate of Interest
3239,15588080,Giles,675,France,Male,54,6,0.0,1,1,0,110273.84,1,Excess Documents Required
3241,15717560,Martin,580,France,Male,50,0,125647.36,1,1,0,57541.08,1,Excess Documents Required
3246,15768151,Romano,514,Germany,Female,45,3,109032.23,1,0,1,155407.21,1,Long Response Times
3247,15579212,Chuang,638,France,Male,57,6,0.0,1,1,0,33676.48,1,High Service Charges/Rate of Interest
3251,15587419,Shipton,611,France,Male,58,8,0.0,2,0,1,107665.68,1,Excess Documents Required
3252,15750335,Paterson,850,Germany,Male,43,0,108508.82,3,1,0,184044.8,1,Excess Documents Required
3255,15778368,Allan,552,Germany,Male,50,4,121175.56,1,1,0,117505.07,1,Excess Documents Required
3261,15768072,Mitchell,688,Spain,Female,33,2,0.0,1,0,0,27557.18,1,Long Response Times
3263,15654456,Napolitano,511,Germany,Male,48,6,149726.08,1,0,0,88307.87,1,Inexperienced Staff / Bad customer service 
3264,15807525,Bailey,447,France,Male,43,2,0.0,2,1,0,33879.26,1,Long Response Times
3269,15611430,Abramowitz,690,France,Male,54,5,0.0,1,1,0,12847.61,1,High Service Charges/Rate of Interest
3273,15793890,Harriman,728,France,Female,59,4,0.0,1,1,1,163365.85,1,Inexperienced Staff / Bad customer service 
3274,15646091,Frankland,560,Spain,Female,43,4,95140.44,2,1,0,123181.44,1,Excess Documents Required
3275,15596984,Pinto,629,France,Female,31,6,0.0,1,1,1,16447.6,1,Long Response Times
3281,15715622,To Rot,583,France,Female,57,3,238387.56,1,0,1,147964.99,1,Excess Documents Required
3286,15627220,Kang,735,Germany,Female,43,9,98807.45,1,0,0,184570.04,1,Inexperienced Staff / Bad customer service 
3295,15706071,Hunt,528,Germany,Male,39,0,127631.62,1,0,1,22197.8,1,Long Response Times
3301,15801904,Heard,677,Germany,Male,28,0,143988.0,2,1,0,8755.69,1,Excess Documents Required
3304,15784320,Lenhardt,632,France,Female,44,3,133793.89,1,1,1,34607.14,1,Long Response Times
3315,15628767,Hotchin,608,Spain,Female,63,3,139529.93,2,1,1,175696.16,1,Long Response Times
3317,15758116,Rossi,666,France,Male,53,5,64646.7,1,1,0,128019.48,1,Inexperienced Staff / Bad customer service 
3318,15575119,Hughes,779,France,Male,71,3,0.0,2,1,1,146895.36,1,High Service Charges/Rate of Interest
3327,15799626,Donaghy,637,Germany,Male,50,4,126345.55,1,0,1,17323.0,1,Long Response Times
3329,15651352,Tobenna,529,France,Female,38,2,0.0,1,1,0,146388.85,1,Inexperienced Staff / Bad customer service 
3338,15647385,Ch'iu,579,Spain,Male,56,4,99340.83,1,0,0,4523.74,1,Excess Documents Required
3340,15631305,Franklin,599,Spain,Female,28,4,126833.79,2,1,0,60843.09,1,High Service Charges/Rate of Interest
3350,15603465,Dunn,665,Germany,Female,45,5,155447.65,2,1,0,51871.95,1,Long Response Times
3359,15750638,Obiajulu,705,Germany,Female,33,5,116765.7,1,0,0,190659.17,1,Inexperienced Staff / Bad customer service 
3366,15764431,Chinwenma,671,Spain,Female,34,5,130929.02,4,1,1,28238.25,1,Excess Documents Required
3368,15648881,Tsai,581,Germany,Male,40,0,101016.53,1,0,1,7926.35,1,High Service Charges/Rate of Interest
3371,15749905,Carr,698,Spain,Female,47,6,0.0,1,1,0,50213.81,1,Inexperienced Staff / Bad customer service 
3372,15625175,Palerma,742,Germany,Female,43,6,97067.69,1,0,1,60920.03,1,Excess Documents Required
3373,15643967,Chineze,652,France,Female,37,4,92208.54,1,0,1,197699.8,1,High Service Charges/Rate of Interest
3376,15733234,Moretti,777,France,Female,58,4,0.0,1,1,1,62449.07,1,Inexperienced Staff / Bad customer service 
3377,15721582,Hale,644,Germany,Female,40,4,77270.08,2,1,1,115800.1,1,Inexperienced Staff / Bad customer service 
3378,15628219,Benson,665,Germany,Female,37,3,111911.63,1,1,1,110359.68,1,Inexperienced Staff / Bad customer service 
3386,15765982,Chin,735,France,Male,41,7,74135.85,1,1,1,11783.1,1,High Service Charges/Rate of Interest
3390,15724863,Sheppard,420,Spain,Female,55,4,91893.32,1,1,0,144870.28,1,High Service Charges/Rate of Interest
3400,15633352,Okwukwe,628,France,Female,31,6,175443.75,1,1,0,113167.17,1,Excess Documents Required
3410,15593736,Cook,598,Germany,Female,46,7,131769.04,1,0,0,184980.23,1,Excess Documents Required
3416,15710689,Angel,578,Spain,Male,40,6,63609.92,1,0,0,74965.61,1,High Service Charges/Rate of Interest
3430,15674678,Bradley,731,Germany,Female,43,9,79120.27,1,0,0,548.52,1,Inexperienced Staff / Bad customer service 
3441,15745605,Trevisan,722,France,Female,47,2,88011.4,1,1,1,90655.94,1,Inexperienced Staff / Bad customer service 
3444,15606755,Moretti,597,Spain,Female,46,4,0.0,2,1,0,58667.16,1,High Service Charges/Rate of Interest
3448,15612092,Palmer,646,Germany,Male,32,8,105397.8,1,1,0,78111.84,1,Long Response Times
3453,15722965,Yefimova,757,France,Male,57,3,89079.41,1,1,1,53179.21,1,Excess Documents Required
3457,15789974,Enemuo,713,France,Male,33,6,94598.48,1,0,0,197519.66,1,Long Response Times
3458,15713370,Hunter,657,Spain,Male,36,8,188241.05,2,0,0,183058.51,1,Excess Documents Required
3464,15791216,Mann,600,Germany,Male,43,8,133379.41,1,1,0,177378.66,1,Excess Documents Required
3474,15627840,Toscano,682,France,Female,42,0,0.0,1,0,1,91981.85,1,High Service Charges/Rate of Interest
3477,15806956,Iqbal,746,Spain,Male,30,1,112666.67,1,0,0,11710.4,1,Excess Documents Required
3481,15807993,Bruno,588,Germany,Female,30,0,110148.49,1,1,0,5790.9,1,Long Response Times
3486,15728456,Martinez,604,France,Male,33,3,0.0,1,1,0,42171.13,1,Excess Documents Required
3491,15809137,Sagese,453,France,Male,29,6,0.0,1,0,0,198376.02,1,Inexperienced Staff / Bad customer service 
3498,15588944,Maughan,456,France,Female,63,1,165350.61,2,0,0,140758.07,1,Inexperienced Staff / Bad customer service 
3503,15660505,Romani,735,Germany,Male,46,2,106344.95,1,1,0,114371.33,1,Excess Documents Required
3520,15594878,Thompson,661,Spain,Female,41,5,28082.95,1,1,0,69586.27,1,Long Response Times
3521,15569248,Milanesi,554,France,Female,43,10,0.0,2,1,0,149629.13,1,Inexperienced Staff / Bad customer service 
3531,15623712,Coates,453,Spain,Female,42,5,0.0,3,1,0,83008.49,1,Long Response Times
3532,15653251,Hickey,408,France,Female,84,8,87873.39,1,0,0,188484.52,1,High Service Charges/Rate of Interest
3533,15755077,Norton,778,Germany,Female,37,0,105617.73,2,1,1,133699.82,1,Inexperienced Staff / Bad customer service 
3534,15808557,Mancini,695,France,Female,42,5,0.0,1,0,1,72172.13,1,Long Response Times
3539,15761023,Murphy,554,Germany,Female,43,2,120847.11,1,1,0,7611.61,1,Long Response Times
3544,15801218,Bermudez,675,France,Male,49,8,135133.39,1,0,1,179521.24,1,Inexperienced Staff / Bad customer service 
3548,15641359,Shao,662,Spain,Female,35,6,0.0,2,0,0,2423.9,1,Long Response Times
3550,15647725,Napolitano,675,France,Female,61,5,62055.17,3,1,0,166305.16,1,High Service Charges/Rate of Interest
3554,15626612,Yin,741,Spain,Male,40,4,104784.23,1,1,0,135163.76,1,High Service Charges/Rate of Interest
3556,15629094,Fomin,528,France,Female,36,1,156948.41,1,1,1,149912.28,1,High Service Charges/Rate of Interest
3557,15651823,Nkemjika,590,France,Female,60,6,147751.75,1,1,0,88206.04,1,Excess Documents Required
